STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
4939,MARINE,ODISHA,28,29.5,5.1,7,7.3,8.7,-,-,1.3,2.2,-,-,2,79,-,-,-,-
4940,MARINE,ODISHA,29,31,5.3,7.1,7.7,8.4,-,-,1,2.5,-,-,2,70,-,-,-,-
4941,MARINE,ODISHA,29.4,29.4,7.3,7.3,8.3,8.3,-,-,1,1,-,-,23,23,-,-,-,-
4942,MARINE,ODISHA,29.3,29.3,7.2,7.2,8.2,8.2,-,-,1,1,-,-,130,130,-,-,-,-
4943,MARINE,ODISHA,29.3,29.3,6.9,6.9,8.3,8.3,-,-,1,1,-,-,2,2,-,-,-,-
4944,MARINE,ODISHA,29,32,3,7.7,8.3,8.6,-,-,1,2.2,-,-,4,1600,-,-,-,-
4946,MARINE,ODISHA,29,29,6.7,6.7,8.3,8.3,-,-,1,1,-,-,2,2,-,-,-,-
4947,MARINE,ODISHA,28.3,29.3,5,6.7,7.9,8.5,-,-,1,2.4,-,-,2,7,-,-,-,-
4948,MARINE,ODISHA,29,29,7.1,7.1,8.3,8.3,-,-,1,1,-,-,2,2,-,-,-,-
4949,MARINE,ODISHA,29,29,6.9,6.9,8.4,8.4,-,-,1,1,-,-,2,2,-,-,-,-
4950,MARINE,ODISHA,28.1,30,5.6,6.9,8.4,8.8,-,-,1,2.3,-,-,11,350,-,-,-,-
4951,MARINE,ODISHA,28,28,7,7,8.6,8.6,-,-,1,1,-,-,27,27,-,-,-,-
4952,MARINE,ODISHA,30.1,30.6,5.2,6.7,8.1,8.6,-,-,1,1.9,-,-,2,1600,-,-,-,-
4953,MARINE,ODISHA,28.5,28.5,7.9,7.9,8.5,8.5,-,-,1,1,-,-,5,5,-,-,-,-
4955,MARINE,ODISHA,29,29,8.4,8.4,7.5,7.5,-,-,1.2,1.2,-,-,28,28,-,-,-,-
4956,MARINE,ODISHA,28,30.4,5.7,7.2,7.8,8.4,-,-,1,3.4,-,-,2,540,-,-,-,-
4957,MARINE,ODISHA,27,27,8.3,8.3,7.9,7.9,,,4,4,-,-,33,33,-,-,-,-
4958,MARINE,ODISHA,27,27,7.4,7.4,8.1,8.1,-,-,1.4,1.4,-,-,2,2,-,-,-,-
4959,MARINE,ODISHA,27.5,27.5,6.9,6.9,8.2,8.2,-,-,1.1,1.1,-,-,11,11,-,-,-,-
4960,MARINE,ODISHA,28.5,31,5.5,7.9,7.5,8.3,-,-,1,2.4,-,-,2,1600,-,-,-,-
4961,MARINE,ODISHA,27,27,8.1,8.1,8.7,8.7,-,-,2,2,-,-,17,17,-,-,-,-
4962,MARINE,ODISHA,28,31,5.9,6.7,7.5,8.3,-,-,1,2.3,-,-,2,5,-,-,-,-
4963,MARINE,ODISHA,28,28,8.1,8.1,8.1,8.1,-,-,1,1,-,-,5,5,-,-,-,-
4964,MARINE,ODISHA,28,28,8.1,8.1,8,8,-,-,2.8,2.8,-,-,4,4,-,-,-,-
4965,MARINE,ODISHA,29,29,7.7,7.7,8,8,-,-,1,1,-,-,9,9,-,-,-,-
4966,MARINE,ODISHA,29,33,5.6,7.6,8,8.3,-,-,1,1.4,-,-,2,79,-,-,-,-
4968,MARINE,ODISHA,29,31,5.2,6.8,8.1,8.3,-,-,1,1.2,-,-,2,11,-,-,-,-
4969,MARINE,ODISHA,28,28,8.2,8.2,8,8,-,-,1,1,-,-,2,2,-,-,-,-
4970,MARINE,ODISHA,28.5,28.5,7.8,7.8,8.3,8.3,-,-,1,1,-,-,2,2,-,-,-,-
4971,MARINE,ODISHA,28.5,28.5,6.8,6.8,8,8,-,-,1,1,-,-,2,2,-,-,-,-
4973,MARINE,ODISHA,28,31,6,8.2,8.1,8.6,-,-,1,1.4,-,-,2,1600,-,-,-,-
4975,MARINE,ODISHA,29.5,29.5,6.2,6.2,8.3,8.3,-,-,1.3,1.3,-,-,8,8,-,-,-,-
